k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_command,laser_on
58,0.058,3.768953068592058,0.0,65.0,0.0,65.0,3.603640361458286,0.0,59.90564053938333,0.0,-54.998079382746454,0.1653127071337721,0.0,5.094359460616673,0.0,5.094359460616673,3.768953068592058,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
59,0.059000000000000004,3.8339350180505414,0.0,65.0,0.0,65.0,3.6635185029579778,0.0,59.85064246000058,0.0,-53.96365097860774,0.17041651509256361,0.0,5.149357539999421,0.0,5.149357539999421,3.8339350180505414,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
60,0.06,3.898916967509025,0.0,65.0,0.0,65.0,3.723342163592489,0.0,59.79667880902197,0.0,-52.93413359610375,0.17557480391653613,0.0,5.203321190978031,0.0,5.203321190978031,3.898916967509025,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
61,0.061,3.963898916967509,0.0,65.0,0.0,65.0,3.7831123753347127,0.0,59.743744675425866,0.0,-51.9095786690434,0.18078654163279628,0.0,5.256255324574134,0.0,5.256255324574134,3.963898916967509,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
62,0.062,4.028880866425992,0.0,65.0,0.0,65.0,3.842830165220804,0.0,59.691835096756826,0.0,-50.89003664802264,0.1860507012051884,0.0,5.308164903243174,0.0,5.308164903243174,4.028880866425992,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
63,0.063,4.093862815884477,0.0,65.0,0.0,65.0,3.902496555299237,0.0,59.640945060108805,0.0,-49.87555700517407,0.19136626058523998,0.0,5.359054939891195,0.0,5.359054939891195,4.093862815884477,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
64,0.064,4.158844765342961,0.0,65.0,0.0,65.0,3.962112562580843,0.0,59.59106950310363,0.0,-48.86618823896411,0.19673220276211767,0.0,5.408930496896367,0.0,5.408930496896367,4.158844765342961,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
65,0.065,4.223826714801444,0.0,65.0,0.0,65.0,4.021679198989827,0.0,59.54220331486467,0.0,-47.86197787903714,0.2021475158116166,0.0,5.457796685135328,0.0,5.457796685135328,4.223826714801444,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
66,0.066,4.2888086642599275,0.0,65.0,0.0,65.0,4.081197471315752,0.0,59.494341336985634,0.0,-46.862972491106554,0.2076111929441753,0.0,5.505658663014366,0.0,5.505658663014366,4.2888086642599275,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
67,0.067,4.353790613718411,0.0,65.0,0.0,65.0,4.140668381166492,0.0,59.44747836449453,0.0,-45.869217681890625,0.2131222325519193,0.0,5.552521635505471,0.0,5.552521635505471,4.353790613718411,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
68,0.068,4.418772563176895,0.0,65.0,0.0,65.0,4.200092924922146,0.0,59.40160914681264,0.0,-44.88075810409254,0.21867963825474934,0.0,5.598390853187361,0.0,5.598390853187361,4.418772563176895,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
