k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_enable
20,0.02,2.339630269591792,0.1841752438430897,87.44651882071038,-3.6424161870172904,87.5223448585577,2.4027192436225335,0.0,89.27997821884496,0.0,-344.5715962135506,-0.06308897403074143,0.1841752438430897,-1.833459398134579,-3.6424161870172904,4.077838771218596,2.339630269591792,0.1841752438430897,87.44651882071038,-3.6424161870172904,0.0,0.0,0.0,0.0,1,1,1,0
21,0.021,2.4270120655263128,0.1805509018241779,87.28349689213294,-3.5755069583295827,87.3567002566377,2.491826936043272,0.0,88.9354066226314,0.0,-345.2042188601537,-0.06481487051695911,0.1805509018241779,-1.6519097304984598,-3.5755069583295827,3.9386616720376932,2.4270120655263128,0.1805509018241779,87.28349689213294,-3.5755069583295827,0.0,0.0,0.0,0.0,1,1,1,0
22,0.022,2.514123013387521,0.17708110151549541,86.89809035591699,-3.3382902126767817,86.96218884693029,2.5805897405564733,0.0,88.59020240377126,0.0,-345.90180569306636,-0.0664667271689523,0.17708110151549541,-1.6921120478542662,-3.3382902126767817,3.7426494260813623,2.514123013387521,0.17708110151549541,86.89809035591699,-3.3382902126767817,0.0,0.0,0.0,0.0,1,1,1,0
23,0.023,2.600722518121416,0.1739198101422464,86.25596743439664,-2.9648655535372033,86.30690786834067,2.669006992057398,0.0,88.2443005980782,0.0,-346.6081794454546,-0.0682844739359818,0.1739198101422464,-1.9883331636815598,-2.9648655535372033,3.56985945386473,2.600722518121416,0.1739198101422464,86.25596743439664,-2.9648655535372033,0.0,0.0,0.0,0.0,1,1,1,0
24,0.024,2.686542403245374,0.17118290595975205,85.33675860663004,-2.497028704495202,85.37328341956469,2.757077988565753,0.0,87.89769241863274,0.0,-347.23816610462836,-0.07053558532037885,0.17118290595975205,-2.560933812002702,-2.497028704495202,3.576805046480962,2.686542403245374,0.17118290595975205,85.33675860663004,-2.497028704495202,0.0,0.0,0.0,0.0,1,1,1,0
25,0.025,2.7713021409797642,0.16894140120310952,84.13646939239618,-1.9823645494252897,84.15981969458132,2.8448020619013334,0.0,87.55045425252811,0.0,-347.68027393212014,-0.0734999209215692,0.16894140120310952,-3.413984860131933,-1.9823645494252897,3.947792019854666,2.7713021409797642,0.16894140120310952,84.13646939239618,-1.9823645494252897,0.0,0.0,0.0,0.0,1,1,1,0
26,0.026000000000000002,2.854726097140747,0.16721676525798085,82.6690691796846,-1.4719675916138604,82.68217273164899,2.9321786760168957,0.0,87.20277397859599,0.0,-347.80128303023025,-0.07745257887614887,0.16721676525798085,-4.533704798911387,-1.4719675916138604,4.766672612466022,2.854726097140747,0.16721676525798085,82.6690691796846,-1.4719675916138604,0.0,0.0,0.0,0.0,1,1,1,0
27,0.027,2.936561889732065,0.16597867525416396,80.96710886839936,-1.0178840334195387,80.9735068180496,3.0192075493539767,0.0,86.85497269556575,0.0,-347.4525884596902,-0.08264565962191162,0.16597867525416396,-5.887863827166385,-1.0178840334195387,5.97520111399983,2.936561889732065,0.16597867525416396,80.96710886839936,-1.0178840334195387,0.0,0.0,0.0,0.0,1,1,1,0
28,0.028,3.016598835588809,0.16514541737008206,79.08126700973426,-0.670388448516035,79.08410847026593,3.1058887957553125,0.0,86.50752010710606,0.0,-346.4780261299986,-0.08928996016650359,0.16514541737008206,-7.426253097371799,-0.670388448516035,7.4564506125989976,3.016598835588809,0.16514541737008206,79.08126700973426,-0.670388448516035,0.0,0.0,0.0,0.0,1,1,1,0
29,0.029,3.0946853862401777,0.16458704159032908,77.07877961788446,-0.47522234055140533,77.08024457443918,3.1922230768493534,0.0,86.16104208097606,0.0,-344.7228065192817,-0.09753769060917561,0.16458704159032908,-9.082262463091595,-0.47522234055140533,9.094686785230252,3.0946853862401777,0.16458704159032908,77.07877961788446,-0.47522234055140533,0.0,0.0,0.0,0.0,1,1,1,0
