k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_command,laser_on
39,0.039,3.12,0.0,80.0,0.0,80.0,3.0206281161026265,0.0,75.26975397785294,0.0,-92.81179309515865,0.09937188389737361,0.0,4.730246022147057,0.0,4.730246022147057,3.12,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
40,0.04,3.2,0.0,80.0,0.0,80.0,3.095851464183932,0.0,75.17694218475778,0.0,-92.81590211431131,0.10414853581606831,0.0,4.8230578152422225,0.0,4.8230578152422225,3.2,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
41,0.041,3.28,0.0,80.0,0.0,80.0,3.1709819984176324,0.0,75.08412628264347,0.0,-91.68644891810948,0.10901800158236741,0.0,4.915873717356533,0.0,4.915873717356533,3.28,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
42,0.042,3.36,0.0,80.0,0.0,80.0,3.2460202814758166,0.0,74.99243983372536,0.0,-90.57350505022973,0.11397971852418332,0.0,5.007560166274644,0.0,5.007560166274644,3.36,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
43,0.043000000000000003,3.44,0.0,80.0,0.0,80.0,3.320967434557017,0.0,74.90186632867513,0.0,-89.4768087531977,0.11903256544298291,0.0,5.098133671324874,0.0,5.098133671324874,3.44,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
44,0.044,3.52,0.0,80.0,0.0,80.0,3.3958245624813155,0.0,74.81238951992192,0.0,-88.39610426683494,0.12417543751868454,0.0,5.187610480078078,0.0,5.187610480078078,3.52,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
45,0.045,3.6,0.0,80.0,0.0,80.0,3.470592753949104,0.0,74.72399341565509,0.0,-87.33114040722366,0.12940724605089615,0.0,5.276006584344913,0.0,5.276006584344913,3.6,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
46,0.046,3.68,0.0,80.0,0.0,80.0,3.5452730817945555,0.0,74.63666227524786,0.0,-86.28166958789302,0.1347269182054447,0.0,5.363337724752142,0.0,5.363337724752142,3.68,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
47,0.047,3.76,0.0,80.0,0.0,80.0,3.6198666032350095,0.0,74.55038060565997,0.0,-85.24744714178975,0.14013339676499026,0.0,5.449619394340033,0.0,5.449619394340033,3.76,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
48,0.048,3.84,0.0,80.0,0.0,80.0,3.694374360117098,0.0,74.46513315851817,0.0,-84.22823084777453,0.14562563988290167,0.0,5.534866841481829,0.0,5.534866841481829,3.84,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
49,0.049,3.92,0.0,80.0,0.0,80.0,3.7687973791601923,0.0,74.3809049276704,0.0,-83.22378059613675,0.15120262083980762,0.0,5.6190950723296,0.0,5.6190950723296,3.92,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
50,0.05,4.0,0.0,80.0,0.0,80.0,3.8431366721975646,0.0,74.29768114707426,0.0,-82.23385814854575,0.1568633278024354,0.0,5.7023188529257425,0.0,5.7023188529257425,4.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
51,0.051000000000000004,4.08,0.0,80.0,0.0,80.0,3.9173932364155646,0.0,74.21544728892572,0.0,-81.25822696210193,0.1626067635844355,0.0,5.784552711074284,0.0,5.784552711074284,4.08,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
52,0.052000000000000005,4.16,0.0,80.0,0.0,80.0,3.991568054591009,0.0,74.13418906196361,0.0,-80.29665205684182,0.1684319454089911,0.0,5.86581093803639,0.0,5.86581093803639,4.16,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
53,0.053,4.24,0.0,80.0,0.0,80.0,4.065662095326944,0.0,74.05389240990677,0.0,-79.34889991265193,0.174337904673056,0.0,5.946107590093234,0.0,5.946107590093234,4.24,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
54,0.054,4.32,0.0,80.0,0.0,80.0,4.139676313286895,0.0,73.97454350999412,0.0,-78.41473838602667,0.1803236867131055,0.0,6.02545649000588,0.0,6.02545649000588,4.32,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
55,0.055,4.4,0.0,80.0,0.0,80.0,4.213611649427696,0.0,73.89612877160809,0.0,-77.49393664016824,0.18638835057230452,0.0,6.10387122839191,0.0,6.10387122839191,4.4,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
56,0.056,4.48,0.0,80.0,0.0,80.0,4.287469031230984,0.0,73.81863483496792,0.0,-76.5862650839937,0.19253096876901665,0.0,6.1813651650320764,0.0,6.1813651650320764,4.48,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
57,0.057,4.56,0.0,80.0,0.0,80.0,4.361249372933409,0.0,73.74204856988393,0.0,-75.69149531702753,0.1987506270665902,0.0,6.257951430116066,0.0,6.257951430116066,4.56,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
58,0.058,4.64,0.0,80.0,0.0,80.0,4.434953575755635,0.0,73.6663570745669,0.0,-74.80940007810864,0.20504642424436437,0.0,6.333642925433097,0.0,6.333642925433097,4.64,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
59,0.059000000000000004,4.72,0.0,80.0,0.0,80.0,4.508582528130163,0.0,73.5915476744888,0.0,-73.93975319648519,0.2114174718698365,0.0,6.408452325511206,0.0,6.408452325511206,4.72,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
60,0.06,4.8,0.0,80.0,0.0,80.0,4.582137105928053,0.0,73.51760792129231,0.0,-73.08232954428975,0.21786289407194648,0.0,6.48239207870769,0.0,6.48239207870769,4.8,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
